"分類","品名","說明","價格_NT$","圖片"
"咖啡系列","黑糖拿鐵","台灣黑糖融入經典拿鐵，焦香與奶香完美交織，每一口都是甜蜜滋味","110",""
"咖啡系列","摩卡咖啡","巧克力與咖啡的完美戀曲！濃郁巧克力與醇香咖啡，風味細膩迷人","110",""
"咖啡系列","檸檬西西里氣泡咖啡","夏日必喝的極致清爽！微酸、微甜與咖啡的甘苦在氣泡中爆發，消暑又解膩！","145",""
"咖啡系列","香橙氣泡美式","果香滿滿的清爽系！柳橙鮮甜、咖啡甘醇，結合清爽氣泡水，層次鮮明、沁涼提神","145",""
"無咖啡因系列","美顏黑醋栗果茶（無糖）","迷人色澤、酸甜交織、果香濃郁，清爽滋味縈繞口中","70",""
"無咖啡因系列","舒壓花草茶（無糖）","優雅的淡淡香氣，溫熱入口，溫和舒緩整天的忙碌與緊繃","70",""
"無咖啡因系列","香橙黑醋栗茶","香橙果香與黑醋栗酸甜的雙重奏！口感酸甜活潑，為您帶來滿滿的活力","85",""
"氣泡飲系列","蜂蜜檸檬氣泡飲","檸檬清新微酸，搭配香甜蜂蜜與輕盈氣泡，多重滋味在舌尖跳躍，給您滿滿清爽","100",""
"氣泡飲系列","熱帶水果氣泡飲","充滿夏日風情的滋味！酸甜果味與氣泡在口中完美激盪，瞬間橫掃悶熱，解膩又過癮","100",""
"氣泡飲系列","藍柑橘氣泡飲","視覺與味覺的夢幻享受！海洋般湛藍色澤，清新香氣與沁涼氣泡水的完美結合","100",""
"氣泡飲系列","檸檬氣泡飲","純粹的極致清爽！突顯檸檬的自然清香與明亮酸韻，清涼解渴每一口！","100",""
"三明治系列","火腿蛋三明治","鹹香火腿片，搭配金黃煎蛋，夾入香脆吐司，簡單令人滿足","90","官方商品圖/05_火腿蛋三明治.jpeg"
"三明治系列","培根蛋三明治","焦香培根，搭配營養煎蛋與爽脆生菜，肉香與蛋香在口中完美交融～","90",""
"三明治系列","總匯蛋三明治（豬排、火腿）","份量十足，雙重肉食享受，層次豐富、口感飽滿，飢腸轆轆時的澎湃首選！","110",""
"三明治系列","豬排蛋三明治","嚴選鮮嫩豬排，配上金黃煎蛋，每一口都是紮實且令人回味的滿足滋味～","100",""
"三明治系列","鮪魚玉米三明治","清爽鮮甜的人氣口味！口感滑順豐富，是大人小孩都喜愛的好味道！","85",""
"三明治系列","鮮蔬起司蛋三明治","無負擔的健康輕食！口感清爽，輕鬆吃進滿滿健康活力","85",""
"漢堡系列","火腿蛋堡","鬆軟布里歐夾入鹹香火腿與金黃煎蛋，搭配清脆生菜，大口咬下喚醒您一天的活力","110","官方商品圖/06_火腿蛋堡.jpeg"
"漢堡系列","培根蛋堡","焦香培根，搭配清爽生菜與鬆軟布里歐，香氣在口中交融，令人回味無窮～","110",""
"漢堡系列","總匯蛋堡（豬排、火腿）","多汁豬排加上鹹香火腿，搭配鬆軟布里歐，層次豐富、份量滿點！","140",""
"漢堡系列","豬排蛋堡","鮮嫩豬排搭配金黃煎蛋與爽脆生菜，每一口都是令人大呼過癮的滿滿美味。","130",""
"漢堡系列","鮮蔬起司蛋堡","清爽解膩又營養滿分，鬆軟布里歐夾入起司與煎蛋，口感豐富！","105",""
"漢堡系列","香煎厚牛堡","極致的肉汁誘惑，濃郁的牛肉香氣在口中爆發，肉食控絕對不能錯過！（加顆蛋更美味！）","155","官方商品圖/07_香煎厚牛堡.jpeg"
"健康蔬食沙拉","陽光鮮蔬沙拉","爽脆生菜、多汁小番茄與營養水煮蛋，開啟輕盈一天的完美序曲～","160",""
"健康蔬食沙拉","培根凱薩沙拉","經典不敗的沙拉首選！培根的鹹香與酥脆，與清爽生菜的完美平衡！","180","官方商品圖/08_培根凱薩沙拉.jpeg"
"健康蔬食沙拉","活力地瓜沙拉","香甜地瓜、爽脆生菜、多汁小番茄與營養水煮蛋。給想吃原型食物的您！","170",""
"健康蔬食沙拉","咕咕舒肥雞沙拉","增肌減脂的好夥伴！多汁雞肉搭配生菜與水煮蛋，兼顧美味與身材管理的最佳選擇","200","官方商品圖/09_咕咕舒肥雞沙拉.jpeg"
"抹醬厚片系列","巧克力厚片","邪惡的療癒滋味！鬆軟厚片抹上香濃巧克力醬，外酥內軟、甜而不膩","60",""
"抹醬厚片系列","花生厚片","經典不敗的滑順花生醬，表面微微金黃焦香，最純粹、復古的幸福","60",""
"抹醬厚片系列","香蒜厚片","欲罷不能的鹹香誘惑！散發出強烈迷人的香氣，鹹香夠味，超級解饞","60",""
"抹醬厚片系列","奶酥厚片","金黃色的香濃乳香！口感酥鬆的經典奶酥，是大人小孩都愛的超人氣點心","60",""
"抹醬厚片系列","蜂糖厚片","甜蜜誘人的純粹美味！口口香甜、滋潤不乾口，為您的點心時光注入小確幸","60",""
"甜點系列","瑪德蓮","奶油香氣濃郁，口感鬆軟細緻","80","官方商品圖/10_瑪德蓮.jpeg"
"其他","塑膠袋","看似平凡的收納道具，能安全護送你的餐點回家","1",""

